puzzle_id,label,row_hints,col_hints,num_solutions,json_file_path
1058,1,"[[], [], [], [1], [1], [1], [2], [1], [1], [1], [1], [1], [], [], []]","[[], [], [], [], [], [], [4], [2], [2], [2], [], [], [], [], []]",8,./mnist_nonograms\mnist_puzzle_1058.json
1060,4,"[[], [], [], [1, 1], [1, 1], [1, 1], [1, 1], [2], [6], [1, 1], [1], [1], [2], [], []]","[[], [], [], [], [3], [3], [2, 1], [1, 1], [1, 1], [5], [4], [], [], [], []]",4,./mnist_nonograms\mnist_puzzle_1060.json
1062,3,"[[], [], [], [6], [2, 2], [1], [3], [5, 1], [3, 2], [1], [1, 2], [1, 2], [5], [], []]","[[], [], [], [], [1, 2, 3], [2, 2, 1], [1, 2, 1], [1, 2, 1], [1, 2, 1], [4, 1], [2, 2, 2], [3], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1062.json
1073,7,"[[], [], [], [], [1, 2], [6], [1, 2], [1, 1], [1, 2], [2], [2], [1], [2], [2], []]","[[], [], [], [], [2], [2, 2], [1, 3], [2, 2], [1, 3], [4], [3], [1], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1073.json
1074,6,"[[], [1], [2], [1], [1], [1], [1], [1, 3], [1, 4], [3, 1], [2, 2], [3], [], [], []]","[[], [], [], [], [], [5], [2, 3], [2, 2, 1], [1, 2, 1], [1, 2, 1], [4], [], [], [], []]",14,./mnist_nonograms\mnist_puzzle_1074.json
1075,6,"[[], [1], [1], [2], [2], [2], [2], [1], [2], [3, 3], [6], [2], [], [], []]","[[], [], [], [], [2], [4], [1, 2], [2, 2], [2, 3], [2, 2], [2, 2], [1], [], [], []]",8,./mnist_nonograms\mnist_puzzle_1075.json
1077,6,"[[], [], [1], [1], [2], [2], [2], [4], [3], [1, 2], [1, 1], [3], [2], [], []]","[[], [], [], [], [], [1], [6], [5, 2], [2, 6], [1, 1], [1], [], [], [], []]",6,./mnist_nonograms\mnist_puzzle_1077.json
1078,5,"[[], [], [], [2, 4], [1, 3], [1], [1], [4, 1], [3, 1], [1], [1], [2, 3], [6], [], []]","[[], [], [], [2], [1, 4, 2], [2, 2, 2], [1, 1], [1, 1], [1, 1], [1, 1, 2], [1, 4], [1, 1], [1], [1], []]",2,./mnist_nonograms\mnist_puzzle_1078.json
1080,3,"[[], [], [], [4], [5, 2], [2], [3], [6], [7], [1], [1], [3, 2], [3], [], []]","[[], [], [1], [1, 1], [1, 2, 1], [1, 2, 1], [1, 3, 1], [1, 3, 1], [1, 4, 1], [3, 2, 1], [2, 1, 1], [2], [], [], []]",5,./mnist_nonograms\mnist_puzzle_1080.json
1085,3,"[[], [], [4], [1], [1], [2], [2], [1], [1], [1, 1], [1, 1], [2, 2], [2], [], []]","[[], [], [], [], [3], [1, 1], [1, 1, 1], [1, 2, 1], [1, 1, 1, 1], [1, 2, 1], [2], [], [], [], []]",54,./mnist_nonograms\mnist_puzzle_1085.json
1088,0,"[[], [], [2], [1, 2], [1, 1], [2, 1], [2, 1], [1, 1], [1, 1], [1, 2], [1, 1], [1, 1], [4], [], []]","[[], [], [], [5], [2, 1], [2, 1], [1, 1], [1, 1], [1, 1], [1, 1], [3, 2], [4], [], [], []]",20,./mnist_nonograms\mnist_puzzle_1088.json
1089,7,"[[], [], [], [], [5], [1, 1], [2, 1], [1], [], [1], [2], [1], [1], [], []]","[[], [], [], [], [], [3], [1, 1, 1], [1, 2], [1, 2], [4], [], [], [], [], []]",3,./mnist_nonograms\mnist_puzzle_1089.json
1091,3,"[[], [], [1], [6], [1], [1], [5], [2, 1], [1], [1], [3, 1], [7], [], [], []]","[[], [1], [1], [2], [1], [1, 1], [1, 2, 1], [1, 2, 1], [1, 1, 1], [1, 2, 1], [2, 1, 3], [2], [], [], []]",6,./mnist_nonograms\mnist_puzzle_1091.json
1093,7,"[[], [], [], [], [8], [1], [1], [1], [1], [1], [2], [2], [2], [2], []]","[[], [], [1], [1], [1], [1, 1], [1, 2], [1, 2], [1, 2], [1, 2], [1, 2], [1], [], [], []]",240,./mnist_nonograms\mnist_puzzle_1093.json
1094,9,"[[], [], [], [2], [1, 1], [1, 1], [1, 1], [1], [1], [1, 3], [1], [], [], [], []]","[[], [], [], [], [], [2, 1], [1, 1], [1, 1], [1, 1], [6], [], [], [], [], []]",5,./mnist_nonograms\mnist_puzzle_1094.json
1102,7,"[[], [], [], [1], [8], [3], [1], [1], [2], [5], [2], [2], [2], [2], []]","[[], [], [1], [1], [1], [2, 1], [1, 1], [2, 1], [2, 5], [10], [1], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1102.json
1103,3,"[[], [], [], [6], [5, 1], [1, 1], [2], [6], [7], [1], [2, 2], [6], [2], [], []]","[[], [], [2], [1], [1, 2], [2, 1, 2], [2, 2, 2], [1, 2, 2], [1, 3, 1], [1, 3, 1], [3, 2, 1], [4], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1103.json
1104,2,"[[], [], [1], [6], [1, 1], [1], [2], [1], [1], [2], [5], [3], [1], [], []]","[[], [], [], [1], [1, 1], [1, 3], [1, 2], [1, 1], [2, 1], [1, 2], [2, 4], [1], [], [], []]",6,./mnist_nonograms\mnist_puzzle_1104.json
1105,0,"[[], [], [], [4], [5], [1, 1], [1], [1, 1], [1, 1], [1, 1], [1, 2], [1, 2], [4], [], []]","[[], [], [], [], [], [6], [3, 1], [2, 2], [2, 3], [2, 4], [3], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1105.json
1106,7,"[[], [], [], [], [4], [2, 1], [2, 2], [1], [1], [1], [2], [2], [1], [1], []]","[[], [], [], [], [1], [1, 1], [1, 2], [2, 2], [1, 2], [1, 3], [3], [], [], [], []]",5,./mnist_nonograms\mnist_puzzle_1106.json
1108,9,"[[], [], [], [2], [4], [1, 1], [1, 1], [1, 1], [1, 1], [1, 2], [2, 1], [], [1], [], []]","[[], [], [], [], [4], [1, 1], [2, 1], [2, 1], [1, 1], [6], [1], [], [], [], []]",21,./mnist_nonograms\mnist_puzzle_1108.json
111,8,"[[], [], [], [5], [6], [2, 2], [5], [4], [2, 1], [2, 2], [2, 2], [1, 2], [4], [], []]","[[], [], [], [], [], [3, 4], [8, 1], [2, 3, 1], [2, 2, 2], [9], [3, 2], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_111.json
1110,7,"[[], [], [], [], [7], [1, 1], [1, 1], [1, 1], [2, 2], [1, 2], [1, 1], [2], [1], [1], []]","[[], [], [3], [3], [1], [1], [1], [1], [1], [1, 3], [1, 4], [6], [], [], []]",3,./mnist_nonograms\mnist_puzzle_1110.json
1112,4,"[[], [], [], [1, 1], [1, 1], [1, 1], [1, 2], [2, 2], [4, 1], [4], [1], [1], [1], [], []]","[[], [], [], [], [4], [1, 2], [1, 2], [2], [1], [7], [5], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1112.json
1114,0,"[[], [], [1], [6], [1, 1], [2, 1], [1, 1], [2, 1], [1, 1], [1, 1], [1, 2], [7], [2], [], []]","[[], [], [], [5], [2, 1], [1, 2], [3, 2], [1, 1], [1, 1], [2, 2], [1, 1], [2, 1], [4], [], []]",6,./mnist_nonograms\mnist_puzzle_1114.json
1117,3,"[[], [], [], [6], [1, 1], [1], [2], [1], [1], [4], [1], [3], [4], [], []]","[[], [], [], [1], [1], [1, 1], [1, 3, 1], [1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1], [2, 1], [1], [], [], []]",56,./mnist_nonograms\mnist_puzzle_1117.json
1120,9,"[[], [], [], [3], [1, 1], [1], [1, 1], [1, 1], [1, 1], [2, 1], [1], [1], [1], [1], []]","[[], [], [], [], [], [4], [1, 1], [1, 1], [1], [2, 8], [], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1120.json
1123,8,"[[], [], [], [3], [4, 1], [1, 1], [1, 2], [5, 1], [3, 1], [1, 1], [1, 1], [1, 1], [5], [], []]","[[], [], [], [2], [1, 2, 1], [2, 4, 1], [2, 2, 1], [2, 1, 1], [1, 1], [1, 1], [3, 1], [1, 1], [2], [], []]",626,./mnist_nonograms\mnist_puzzle_1123.json
1124,9,"[[], [], [], [], [5], [2], [1, 3], [1], [1], [2], [1], [1], [2], [1], []]","[[], [], [], [], [], [2, 2], [2, 2], [1, 2], [1, 1, 1], [1, 3], [1, 1], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1124.json
1126,1,"[[], [], [], [1], [], [1], [2], [2], [1], [1], [1], [1], [], [], []]","[[], [], [], [], [], [], [2], [4], [3], [1], [], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1126.json
113,7,"[[], [], [], [2], [2, 1], [1], [1], [2], [2], [1], [2], [1], [2], [], []]","[[], [], [], [], [1], [1, 3], [1, 2], [2], [2], [1, 1], [3], [], [], [], []]",4,./mnist_nonograms\mnist_puzzle_113.json
1131,8,"[[], [], [], [1, 1], [4, 1], [1, 2], [1, 2], [1, 2], [4], [2], [1, 2], [1], [1], [2], []]","[[], [], [], [], [2, 1], [1, 3], [2, 2, 1], [1, 2, 1, 1], [1, 2, 3], [1], [2], [3], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1131.json
1135,7,"[[], [], [], [], [3], [6], [3, 1], [1], [2], [2], [2], [2], [2], [2], []]","[[], [], [], [1], [1, 2], [1, 2], [2, 2], [1, 2], [1, 2], [1, 2], [3], [2], [1], [], []]",8,./mnist_nonograms\mnist_puzzle_1135.json
1139,8,"[[], [], [], [2], [1, 1], [1, 1], [1, 2], [4], [2], [3], [1, 1], [1, 1], [1], [], []]","[[], [], [], [2], [1, 1], [1, 1], [6], [1, 2], [1, 1], [1, 1], [1], [1], [2], [], []]",1000,./mnist_nonograms\mnist_puzzle_1139.json
114,8,"[[], [], [], [4, 1], [1], [1, 1], [1, 1], [3], [2], [1, 1], [1, 1], [1, 2], [1, 1], [], []]","[[], [], [], [], [1, 2], [1, 1, 1], [1, 1, 1], [1, 2, 1], [1, 5], [1], [1, 1], [1], [1], [], []]",1000,./mnist_nonograms\mnist_puzzle_114.json
1140,8,"[[], [], [], [2], [2, 1], [1, 1], [1, 1], [2], [1], [3], [1, 1], [1, 2], [2], [], []]","[[], [], [], [], [], [1, 3], [1, 1, 1, 1], [1, 3, 1], [1, 1, 3], [1, 1], [2], [], [], [], []]",5,./mnist_nonograms\mnist_puzzle_1140.json
1141,5,"[[], [], [1], [4], [2], [2], [1], [5], [1], [1], [1, 2], [5], [2], [], []]","[[], [], [], [], [2], [3, 2], [1, 1, 2], [1, 1, 1], [2, 1, 2], [1, 4], [1], [2], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1141.json
1144,8,"[[], [], [3], [1, 1], [1, 1], [2], [3], [4], [1, 1], [1, 1], [1, 1], [2, 1], [3], [], []]","[[], [], [], [], [2], [3, 1, 1], [1, 1, 2, 1], [1, 2, 1], [1, 2, 1], [2, 3, 1], [2], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1144.json
1145,2,"[[], [], [3], [1], [2], [2], [2], [2], [2], [5], [2, 1], [2], [], [], []]","[[], [], [], [], [1, 1], [1, 2], [1, 2], [7], [6], [1], [1], [1], [], [], []]",3,./mnist_nonograms\mnist_puzzle_1145.json
1151,3,"[[], [], [2], [1, 2], [2], [1], [1], [6], [1], [1], [2], [2], [4], [], []]","[[], [], [], [], [1], [1, 1, 1], [1, 2, 1], [3, 1, 1], [2, 1, 1], [1, 1], [2, 2], [2], [], [], []]",92,./mnist_nonograms\mnist_puzzle_1151.json
1152,2,"[[], [], [], [5], [2, 1], [1, 1], [2], [2], [2], [2], [8], [4, 2], [], [], []]","[[], [], [], [1], [2, 2], [2, 2], [1, 3], [1, 4], [1, 3, 1], [4, 1], [1], [2], [1], [], []]",2,./mnist_nonograms\mnist_puzzle_1152.json
1153,2,"[[], [], [], [1, 1], [1], [1], [1], [1], [1], [2, 2, 1], [1, 1], [], [], [], []]","[[], [], [], [], [1], [1, 3], [1], [1, 1], [2, 1], [1], [], [1], [], [1], []]",384,./mnist_nonograms\mnist_puzzle_1153.json
1154,2,"[[], [], [], [], [5], [2, 1], [1], [2, 2], [4, 2], [1, 4], [4, 3], [], [], [], []]","[[], [], [], [2], [1, 2, 1], [2, 2, 1], [1, 3], [1, 2], [1, 1], [1, 3], [4, 1], [1], [1], [], []]",2,./mnist_nonograms\mnist_puzzle_1154.json
1155,5,"[[], [], [1], [1, 3], [1, 3], [2], [2], [6], [2, 1], [1], [2, 1], [6], [4], [], []]","[[], [], [], [], [3], [4, 2], [3, 1, 3], [1, 2], [1, 1, 2], [2, 2, 2], [2, 3], [2], [], [], []]",4,./mnist_nonograms\mnist_puzzle_1155.json
1159,8,"[[], [], [], [3], [1, 1], [1, 1], [1], [3], [2], [2], [1], [1], [3], [], []]","[[], [], [], [], [], [1], [2, 1, 1], [3, 1], [1, 3, 2], [1, 1], [3], [], [], [], []]",9,./mnist_nonograms\mnist_puzzle_1159.json
116,1,"[[], [], [], [1], [1], [1], [2], [2], [1], [1], [2], [], [], [], []]","[[], [], [], [], [1], [2], [2], [2], [1], [1], [1], [1], [], [], []]",276,./mnist_nonograms\mnist_puzzle_116.json
1160,0,"[[], [], [2], [3], [1, 2], [2, 1], [1, 1], [2, 1], [1, 1], [1, 1], [2, 1], [2, 3], [2], [], []]","[[], [], [], [4], [3, 2], [2, 2], [2, 1], [2, 1], [1, 1], [1], [1, 1], [2, 3], [1], [], []]",99,./mnist_nonograms\mnist_puzzle_1160.json
1161,4,"[[], [], [], [1], [1, 1], [1, 1], [1, 2], [7], [6], [2], [2], [2], [1], [], []]","[[], [], [], [1], [3], [2, 2], [2], [2, 3], [5], [4], [4], [], [], [], []]",4,./mnist_nonograms\mnist_puzzle_1161.json
1162,2,"[[], [], [], [], [5], [2, 1], [1], [3], [4], [2, 1], [1, 1], [3], [], [], []]","[[], [], [], [1, 1], [1, 1, 1], [1, 1], [1, 1], [1, 1], [1, 1, 1], [1, 2], [1, 2], [3], [1], [], []]",23,./mnist_nonograms\mnist_puzzle_1162.json
1164,6,"[[], [], [2], [1], [1], [1, 1], [1, 2, 1], [1, 2, 1], [1, 1, 1], [1, 2], [5], [1], [], [], []]","[[], [], [], [], [2, 1], [2, 2], [1, 2], [1, 2, 1], [1, 1, 1], [1, 1, 1], [1, 1], [1, 1], [2], [], []]",566,./mnist_nonograms\mnist_puzzle_1164.json
1166,9,"[[], [], [], [1], [4], [1, 1], [5], [1], [1], [1], [2], [2], [2], [1], []]","[[], [], [], [], [], [3, 2], [2, 1, 1], [1, 1, 2], [3, 3], [3], [], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1166.json
1167,9,"[[], [], [], [], [1, 1], [2], [1, 2], [1, 2], [1, 3], [1], [2], [1], [1], [1], []]","[[], [], [], [], [], [3], [1, 2], [1, 2], [2, 1], [6], [2], [], [], [], []]",3,./mnist_nonograms\mnist_puzzle_1167.json
1170,2,"[[], [], [], [2], [4, 1], [2, 1], [1], [1], [1], [4], [2, 3], [4, 2], [], [], []]","[[], [], [1], [2], [2], [1, 1, 1], [2, 2], [2, 2], [2, 3], [1, 1, 1], [2], [1], [1], [], []]",88,./mnist_nonograms\mnist_puzzle_1170.json
1173,1,"[[], [], [1], [1], [1], [2], [2], [3], [2], [2], [1], [1], [1], [], []]","[[], [], [], [], [2], [2], [3], [3], [3], [2], [2], [], [], [], []]",4,./mnist_nonograms\mnist_puzzle_1173.json
1175,3,"[[], [], [], [3], [2], [1], [1], [1, 2], [4], [2], [1], [1], [1], [], []]","[[], [], [], [], [1], [1, 2], [1, 1], [1, 3], [1, 3], [2, 3], [], [], [], [], []]",6,./mnist_nonograms\mnist_puzzle_1175.json
1178,5,"[[], [], [], [5], [5], [1], [1], [3], [2], [2], [2], [3], [3], [], []]","[[], [], [], [], [1], [1], [4, 2], [2, 5], [2, 5], [2], [2], [1], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1178.json
1181,7,"[[], [], [], [], [5], [2, 1], [1, 1], [2], [4], [2], [1], [1], [1], [1], []]","[[], [], [], [], [2], [3], [1], [1, 1], [1, 2], [9], [2], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1181.json
1188,6,"[[], [], [3], [2, 1], [1], [1], [1], [1, 2], [6], [1, 2], [2, 1], [5], [], [], []]","[[], [], [], [], [5], [1, 1, 2], [2, 2, 1], [1, 2, 1], [1, 1, 1], [1, 2, 1], [2, 2], [], [], [], []]",7,./mnist_nonograms\mnist_puzzle_1188.json
1189,4,"[[], [], [1], [2], [1, 1], [1, 1], [1, 1], [1, 1, 3], [6], [6], [1], [1], [1], [], []]","[[], [], [], [], [2], [7], [2], [3], [2], [1, 3], [8], [1], [], [], []]",3,./mnist_nonograms\mnist_puzzle_1189.json
1193,1,"[[], [], [], [2], [2], [3], [2], [3], [3], [2], [2], [2], [2], [], []]","[[], [], [], [], [], [3], [6], [5], [5], [3], [1], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1193.json
1195,8,"[[], [], [], [6], [10], [4, 3], [4], [3], [3], [1, 1], [1, 2], [1, 3], [6], [2], []]","[[], [], [], [2, 1], [2, 3], [2, 1, 2], [4, 1, 1], [2, 3, 2], [2, 3, 3], [2, 6], [3], [3], [2], [], []]",2,./mnist_nonograms\mnist_puzzle_1195.json
1197,0,"[[], [], [4], [2, 1], [1, 1], [2, 1], [2, 2], [2, 2], [2, 2], [2, 2], [2, 3], [6], [], [], []]","[[], [], [], [], [6], [9], [2, 1], [1, 1], [1, 1], [2, 2], [1, 2], [6], [4], [], []]",3,./mnist_nonograms\mnist_puzzle_1197.json
1198,7,"[[], [], [], [4], [1, 1], [1], [], [1], [1, 1], [5], [1], [2], [1], [1], []]","[[], [], [], [1], [], [], [1, 1], [1, 1, 3], [1, 5], [3, 1], [1], [1], [], [], []]",3,./mnist_nonograms\mnist_puzzle_1198.json
120,9,"[[], [], [], [4], [1, 1], [1, 2], [1, 2], [2, 2], [1, 2], [1, 4], [4, 2], [2], [2], [], []]","[[], [], [], [4], [2, 1], [1, 1], [1, 2, 1], [1, 1, 2], [1, 3], [1, 4], [6], [2], [], [], []]",2,./mnist_nonograms\mnist_puzzle_120.json
1200,3,"[[], [], [4], [3, 2], [2], [2], [2], [3], [3], [2], [1, 2], [2, 3], [3], [], []]","[[], [], [2], [2], [1], [2], [1, 1, 1], [2, 3, 2], [2, 5], [1, 1, 2], [4], [2], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1200.json
1201,0,"[[], [], [], [4], [2, 2], [1, 1], [1, 2], [1, 1], [1, 1], [1, 2], [1, 1], [1, 1], [5], [], []]","[[], [], [], [3], [3, 1], [2, 1], [2, 1], [1, 1], [1, 1], [2, 1], [3, 2], [4], [], [], []]",3,./mnist_nonograms\mnist_puzzle_1201.json
1202,8,"[[], [], [1], [4], [2, 3], [2, 2], [1, 2, 1], [4, 1], [2, 2], [1, 1], [1, 2], [3, 3], [3], [], []]","[[], [], [], [2], [2, 5], [2, 2, 1], [2, 1, 2], [1, 2, 1], [1, 2, 1], [2, 1], [1, 1], [1, 2], [5], [1], []]",2,./mnist_nonograms\mnist_puzzle_1202.json
1205,1,"[[], [], [1], [1], [2], [3], [2], [2], [2], [2], [1], [1], [1], [], []]","[[], [], [], [], [], [], [4], [5], [5], [4], [], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1205.json
